"시군구별","이혼수"
"종로구",204
"중구",233
"용산구",352
"성동구",454
"광진구",523
"동대문구",555
"중랑구",771
"성북구",647
"강북구",627
"도봉구",611
"노원구",782
"은평구",807
"서대문구",429
"마포구",527
"양천구",683
"강서구",973
"구로구",658
"금천구",460
"영등포구",540
"동작구",493
"관악구",741
"서초구",508
"강남구",737
"송파구",923
"강동구",729
"중구",101
"서구",223
"동구",160
"영도구",238
"부산진구",616
"동래구",424
"남구",426
"북구",518
"해운대구",657
"사하구",643
"금정구",409
"강서구",348
"연제구",346
"수영구",311
"사상구",452
"기장군",376
"중구",137
"동구",618
"서구",378
"남구",301
"북구",739
"수성구",536
"달서구",922
"달성군",480
"중구",363
"동구",163
"연수구",640
"남동구",1231
"부평구",1058
"계양구",710
"서구",1288
"미추홀구",1085
"강화군",139
"옹진군",63
"동구",182
"서구",515
"남구",323
"북구",785
"광산구",767
"동구",472
"중구",520
"서구",842
"유성구",560
"대덕구",360
"중구",479
"남구",658
"동구",361
"북구",424
"울주군",503
"세종시",624
"수원시",2096
"장안구",471
"권선구",757
"팔달구",377
"영통구",491
"성남시",1567
"수정구",518
"중원구",497
"분당구",552
"의정부시",1027
"안양시",889
"만안구",479
"동안구",410
"부천시",1569
"광명시",506
"평택시",1524
"동두천시",262
"안산시",1684
"상록구",926
"단원구",758
"고양시",1975
"덕양구",915
"일산동구",575
"일산서구",485
"과천시",80
"구리시",352
"남양주시",1565
"오산시",562
"시흥시",1245
"군포시",457
"의왕시",250
"하남시",554
"용인시",1747
"처인구",627
"기흥구",663
"수지구",457
"파주시",1076
"이천시",466
"안성시",474
"김포시",904
"화성시",1763
"광주시",999
"양주시",553
"포천시",398
"여주시",234
"연천군",86
"가평군",141
"양평군",251
"춘천시",500
"원주시",746
"강릉시",420
"동해시",187
"태백시",88
"속초시",195
"삼척시",132
"홍천군",164
"횡성군",86
"영월군",74
"평창군",79
"정선군",108
"철원군",89
"화천군",62
"양구군",44
"인제군",64
"고성군",60
"양양군",63
"충주시",436
"제천시",294
"청주시",1643
"상당구",351
"서원구",365
"흥덕구",525
"청원구",402
"보은군",68
"옥천군",109
"영동군",84
"진천군",199
"괴산군",75
"음성군",212
"단양군",47
"증평군",89
"천안시",1482
"동남구",581
"서북구",901
"공주시",197
"보령시",263
"아산시",753
"서산시",403
"논산시",295
"계룡시",84
"당진시",393
"금산군",108
"부여군",123
"서천군",84
"청양군",71
"홍성군",209
"예산군",173
"태안군",160
"전주시",1201
"완산구",609
"덕진구",592
"군산시",635
"익산시",634
"정읍시",257
"남원시",150
"김제시",182
"완주군",207
"진안군",46
"무주군",51
"장수군",50
"임실군",68
"순창군",47
"고창군",93
"부안군",127
"목포시",527
"여수시",563
"순천시",524
"나주시",249
"광양시",350
"담양군",78
"곡성군",41
"구례군",52
"고흥군",111
"보성군",60
"화순군",122
"장흥군",70
"강진군",62
"해남군",141
"영암군",150
"무안군",180
"함평군",60
"영광군",102
"장성군",77
"완도군",104
"진도군",65
"신안군",88
"포항시",1049
"남구",532
"북구",517
"경주시",458
"김천시",228
"안동시",277
"구미시",890
"영주시",168
"영천시",219
"상주시",169
"문경시",121
"경산시",513
"군위군",32
"의성군",59
"청송군",45
"영양군",34
"영덕군",78
"청도군",72
"고령군",53
"성주군",85
"칠곡군",284
"예천군",89
"봉화군",33
"울진군",110
"울릉군",31
"진주시",604
"통영시",369
"사천시",258
"김해시",1228
"밀양시",211
"거제시",637
"양산시",782
"통합창원시",2035
"의창구",432
"성산구",413
"마산합포구",384
"마산회원구",335
"진해구",471
"의령군",52
"함안군",147
"창녕군",109
"고성군",99
"남해군",72
"하동군",79
"산청군",75
"함양군",73
"거창군",124
"합천군",80
"제주시",1067
"서귀포시",423
